Date_x,Comp,Team,Opponent,Venue,Result,GF,GA,xG,xGA,Poss,P>2.5,P<2.5,OT,OD,OO,GFPerPoss,MatchDay
2023-01-08,La Liga,Almeria,Real Sociedad,Home,L,0,2,0.6,1.7,44,2.1,1.81,4.35,3.37,2.01,0,16
2023-01-15,La Liga,Almeria,Atlético Madrid,Home,D,1,1,1.4,2.4,55,1.97,1.93,5.1,3.94,1.74,0.01818181818181818,17
2023-01-23,La Liga,Almeria,Valencia,Away,D,2,2,1.4,1.9,43,1.84,2.06,5.51,4.25,1.65,0.046511627906976744,18
2023-02-06,La Liga,Almeria,Rayo Vallecano,Away,L,0,2,1.2,1.1,51,2.08,1.84,5.19,3.8,1.76,0,20
2023-02-11,La Liga,Almeria,Betis,Home,L,2,3,2.3,2.5,52,2.09,1.81,3.04,3.38,2.52,0.038461538461538464,21
2023-02-17,La Liga,Almeria,Girona,Away,L,2,6,1.8,3,48,1.99,1.91,4.61,3.71,1.86,0.041666666666666664,22
2023-02-26,La Liga,Almeria,Barcelona,Home,W,1,0,1,1.4,28,1.61,2.44,7.08,5.02,1.46,0.03571428571428571,23
2023-03-04,La Liga,Almeria,Villarreal,Home,L,0,2,0.4,2.1,29,1.77,2.14,3.56,3.71,2.09,0,24
2023-03-12,La Liga,Almeria,Sevilla,Away,L,1,2,1.1,3,44,1.93,1.96,5.09,3.73,1.77,0.022727272727272728,25
2023-04-02,La Liga,Almeria,Celta Vigo,Away,D,2,2,1,2,43,1.9,1.99,6.21,4.22,1.58,0.046511627906976744,27
2023-04-09,La Liga,Almeria,Valencia,Home,W,2,1,0.9,1.3,40,2.08,1.81,3.13,3.38,2.43,0.05,28
2023-04-16,La Liga,Almeria,Atlético Madrid,Away,L,1,2,0.2,2.3,36,1.6,2.43,14.07,6.46,1.23,0.027777777777777776,29
2023-04-22,La Liga,Almeria,Athletic Club,Home,L,1,2,0.8,1.7,53,1.91,1.98,4.16,3.78,1.91,0.018867924528301886,30
2023-04-26,La Liga,Almeria,Getafe,Away,W,2,1,1.9,1.6,54,2.28,1.68,4.53,3.53,1.9,0.037037037037037035,31
2023-04-29,La Liga,Almeria,Real Madrid,Away,L,2,4,1.3,2.8,32,1.36,3.24,14.49,8.84,1.17,0.0625,32
2023-01-14,La Liga,Athletic-Club,Real Sociedad,Away,L,1,3,0.3,2,43,2.33,1.67,3.23,3.25,2.47,0.023255813953488372,17
2023-01-22,La Liga,Athletic-Club,Real Madrid,Home,L,0,2,1.1,1.1,51,1.9,2.01,3,3.5,2.48,0,18
2023-02-19,La Liga,Athletic-Club,Atlético Madrid,Away,L,0,1,0.8,1.2,43,2.36,1.65,4.19,3.31,2.07,0,22
2023-03-12,La Liga,Athletic-Club,Barcelona,Home,L,0,1,0.9,0.9,38,2.17,1.75,3.61,3.42,2.18,0,25
2023-01-08,La Liga,Atletico-Madrid,Barcelona,Home,L,0,1,1.7,0.7,42,1.96,1.94,3.21,3.51,2.35,0,16
2023-02-25,La Liga,Atletico-Madrid,Real Madrid,Away,D,1,1,0.3,1.6,38,1.98,1.93,4.77,3.64,1.85,0.02631578947368421,23
2023-04-23,La Liga,Atletico-Madrid,Barcelona,Away,L,0,1,1.3,1.8,38,2.19,1.73,4.23,3.47,1.98,0,30
2023-01-15,La Liga,Espanyol,Getafe,Away,W,2,1,0.8,0.5,38,2.84,1.47,3.29,3.02,2.59,0.05263157894736842,17
2023-01-21,La Liga,Espanyol,Betis,Home,W,1,0,2.3,0.9,31,2.26,1.7,2.87,3.16,2.8,0.03225806451612903,18
2023-01-27,La Liga,Espanyol,Almería,Away,L,1,3,0.8,2.1,44,2.19,1.75,3.32,3.22,2.44,0.022727272727272728,19
2023-02-13,La Liga,Espanyol,Real Sociedad,Home,L,2,3,1.2,1.4,44,2.53,1.58,3.66,3.12,2.33,0.045454545454545456,21
2023-03-05,La Liga,Espanyol,Valladolid,Away,L,1,2,1.2,1.4,55,2.31,1.67,3,3.24,2.59,0.01818181818181818,24
2023-03-11,La Liga,Espanyol,Real Madrid,Away,L,1,3,1.2,1.7,29,1.64,2.34,11.72,6.17,1.27,0.034482758620689655,25
2023-03-18,La Liga,Espanyol,Celta Vigo,Home,L,1,3,1.2,1.6,57,2.34,1.65,2.94,3.24,2.64,0.017543859649122806,26
2023-04-01,La Liga,Espanyol,Girona,Away,L,1,2,1,1.6,38,2.03,1.86,4.38,3.5,1.94,0.02631578947368421,27
2023-04-08,La Liga,Espanyol,Athletic Club,Home,L,1,2,0.9,2.3,49,2.39,1.63,3.59,3.24,2.27,0.02040816326530612,28
2023-04-15,La Liga,Espanyol,Betis,Away,L,1,3,0.8,2,48,2.19,1.74,4.74,3.6,1.85,0.020833333333333332,29
2023-04-27,La Liga,Espanyol,Villarreal,Away,L,2,4,0.9,3.7,36,1.87,2.02,6.01,4.17,1.6,0.05555555555555555,31
2023-05-04,La Liga,Espanyol,Sevilla,Away,L,2,3,1,2.6,37,2.07,1.83,4.66,3.65,1.85,0.05405405405405406,33
2023-01-07,La Liga,Girona,Espanyol,Away,D,2,2,1.2,1.5,56,2.09,1.81,3.23,3.44,2.37,0.03571428571428571,16
2023-01-22,La Liga,Girona,Villarreal,Away,L,0,1,0.6,2.5,32,1.76,2.17,4.76,4.06,1.76,0,18
2023-01-28,La Liga,Girona,Barcelona,Home,L,0,1,1.1,1.1,41,1.73,2.22,5.32,4.39,1.64,0,19
2023-02-26,La Liga,Girona,Athletic Club,Away,W,3,2,1.1,1.6,40,2.14,1.78,5.63,3.81,1.71,0.075,23
2023-03-04,La Liga,Girona,Getafe,Away,L,2,3,0.8,1.5,61,2.68,1.52,2.97,2.95,2.84,0.03278688524590164,24
2023-03-13,La Liga,Girona,Atlético Madrid,Home,L,0,1,0.4,1.9,50,2.17,1.74,3.75,3.4,2.14,0,25
2023-03-18,La Liga,Girona,Rayo Vallecano,Away,D,2,2,1.8,1.9,53,2.17,1.75,3.79,3.44,2.11,0.03773584905660377,26
2023-04-10,La Liga,Girona,Barcelona,Away,D,0,0,0.6,1.3,41,1.63,2.39,10.1,5.83,1.31,0,28
2023-04-22,La Liga,Girona,Valladolid,Away,L,0,1,1,1.1,62,1.94,1.94,2.93,3.52,2.49,0,30
2023-04-25,La Liga,Girona,Real Madrid,Home,W,4,2,2.3,1.8,29,1.58,2.53,5.56,4.55,1.6,0.13793103448275862,31
2023-05-01,La Liga,Girona,Sevilla,Away,W,2,0,0.8,2.2,37,2,1.89,4.02,3.55,2.01,0.05405405405405406,32
2023-01-21,La Liga,Rayo-Vallecano,Real Sociedad,Home,L,0,2,0.9,1.6,54,2.52,1.58,3.21,3.23,2.49,0,18
2023-01-30,La Liga,Rayo-Vallecano,Villarreal,Away,W,1,0,1,0.8,38,2.03,1.88,5.41,3.85,1.72,0.02631578947368421,19
2023-02-12,La Liga,Rayo-Vallecano,Getafe,Away,D,1,1,2.2,1.4,57,3.1,1.41,3.01,2.85,2.96,0.017543859649122806,21
2023-03-05,La Liga,Rayo-Vallecano,Athletic Club,Home,D,0,0,1.1,1.3,55,2.49,1.58,3.18,3.08,2.57,0,24
2023-03-11,La Liga,Rayo-Vallecano,Celta Vigo,Away,L,0,3,1.1,2.4,57,2.47,1.59,4.05,3.2,2.13,0,25
2023-04-03,La Liga,Rayo-Vallecano,Valencia,Away,D,1,1,0.8,2.3,39,2.43,1.61,3.91,3.23,2.16,0.02564102564102564,27
2023-04-09,La Liga,Rayo-Vallecano,Atlético Madrid,Home,L,1,2,0.7,1.9,51,2.39,1.63,4.68,3.45,1.9,0.0196078431372549,28
2023-04-22,La Liga,Rayo-Vallecano,Real Sociedad,Away,L,1,2,0.5,0.6,40,2.38,1.63,6.17,3.69,1.67,0.025,30
2023-04-26,La Liga,Rayo-Vallecano,Barcelona,Home,W,2,1,0.7,0.9,40,2.11,1.79,5.02,3.84,1.75,0.05,31
2023-03-19,La Liga,Real-Madrid,Barcelona,Away,L,1,2,0.5,1.6,46,1.89,2,3.31,3.56,2.25,0.021739130434782608,26
2023-05-02,La Liga,Real-Madrid,Real Sociedad,Away,L,0,2,0.8,1.9,47,2.07,1.85,2.95,3.4,2.57,0,33
2023-01-29,La Liga,Real-Sociedad,Real Madrid,Away,D,0,0,0.4,1.3,39,1.93,1.97,5.05,4.02,1.73,0,19
